emp_combined,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
-0.0911,-0.0922,-0.0575,-0.10099999999999999,-0.223
-0.091,-0.0921,-0.0577,-0.10099999999999999,-0.222
-0.0909,-0.0919,-0.0579,-0.10099999999999999,-0.221
-0.0908,-0.0917,-0.0581,-0.10099999999999999,-0.221
-0.0906,-0.0914,-0.0582,-0.10099999999999999,-0.22
-0.0905,-0.0912,-0.0582,-0.10099999999999999,-0.22
-0.0902,-0.0909,-0.0582,-0.10099999999999999,-0.21899999999999997
-0.0899,-0.0906,-0.0581,-0.1,-0.21899999999999997
-0.0896,-0.0903,-0.057999999999999996,-0.1,-0.218
-0.0893,-0.09,-0.0579,-0.0997,-0.218
-0.08900000000000001,-0.0897,-0.0577,-0.0993,-0.217
-0.0886,-0.0894,-0.0576,-0.0989,-0.217
-0.0883,-0.0891,-0.0574,-0.0986,-0.21600000000000003
-0.0879,-0.0887,-0.0573,-0.0983,-0.21600000000000003
-0.0876,-0.0882,-0.0572,-0.098,-0.215
-0.0873,-0.0878,-0.057,-0.0977,-0.214
-0.087,-0.0873,-0.057,-0.0973,-0.214
-0.0866,-0.0868,-0.0569,-0.09699999999999999,-0.213
-0.0863,-0.0864,-0.0568,-0.0967,-0.212
-0.086,-0.0859,-0.0567,-0.0964,-0.212
-0.0856,-0.0855,-0.0566,-0.096,-0.21100000000000002
-0.0853,-0.0851,-0.0565,-0.0956,-0.21
-0.0849,-0.0847,-0.0563,-0.0952,-0.209
-0.0845,-0.0844,-0.0561,-0.0947,-0.209
-0.0841,-0.084,-0.0559,-0.0942,-0.20800000000000002
-0.0837,-0.0837,-0.0556,-0.0936,-0.207
-0.0832,-0.0834,-0.0553,-0.09300000000000001,-0.20600000000000002
-0.0827,-0.083,-0.0549,-0.0924,-0.205
-0.0822,-0.0827,-0.0545,-0.0917,-0.205
-0.0818,-0.0824,-0.0541,-0.091,-0.204
-0.0813,-0.0821,-0.0538,-0.0903,-0.203
-0.0809,-0.0819,-0.0534,-0.0896,-0.203
-0.0805,-0.0816,-0.0531,-0.08900000000000001,-0.20199999999999999
-0.0801,-0.0816,-0.0527,-0.0887,-0.20199999999999999
-0.0798,-0.0816,-0.0524,-0.0883,-0.203
-0.0795,-0.0816,-0.0521,-0.08800000000000001,-0.203
-0.0793,-0.0815,-0.0518,-0.0877,-0.203
-0.079,-0.0815,-0.0515,-0.0875,-0.204
-0.0788,-0.0814,-0.051,-0.0872,-0.204
-0.0785,-0.0812,-0.0506,-0.087,-0.205
-0.0783,-0.0808,-0.05,-0.0866,-0.205
-0.078,-0.0803,-0.0493,-0.0862,-0.205
-0.0778,-0.0797,-0.0486,-0.0858,-0.20600000000000002
-0.0775,-0.0792,-0.0477,-0.0854,-0.20600000000000002
-0.0773,-0.0785,-0.0466,-0.085,-0.207
-0.077,-0.0778,-0.0453,-0.0845,-0.20800000000000002
-0.0768,-0.0771,-0.0439,-0.084,-0.20800000000000002
-0.0766,-0.0762,-0.0422,-0.0834,-0.21
-0.0763,-0.0754,-0.0404,-0.0828,-0.21100000000000002
-0.0761,-0.0744,-0.0384,-0.0822,-0.212
-0.0759,-0.0734,-0.0363,-0.0816,-0.214
-0.0757,-0.0724,-0.0342,-0.081,-0.215
-0.0756,-0.0714,-0.0322,-0.0805,-0.21600000000000003
-0.0755,-0.0704,-0.0304,-0.0803,-0.217
-0.0755,-0.0695,-0.0289,-0.0802,-0.21899999999999997
-0.0756,-0.0687,-0.0277,-0.0802,-0.21899999999999997
-0.0756,-0.0679,-0.0268,-0.0803,-0.22
-0.0756,-0.0673,-0.0262,-0.0805,-0.22
-0.0756,-0.0667,-0.0258,-0.0807,-0.22
-0.0756,-0.0661,-0.0255,-0.0808,-0.22
-0.0754,-0.0656,-0.0253,-0.0808,-0.22
-0.0751,-0.0649,-0.0251,-0.0806,-0.22
-0.0747,-0.0642,-0.0247,-0.0802,-0.21899999999999997
-0.0742,-0.0635,-0.0243,-0.0796,-0.21899999999999997
-0.0736,-0.0627,-0.0238,-0.0788,-0.218
-0.0728,-0.0619,-0.0231,-0.0778,-0.218
-0.07200000000000001,-0.061,-0.0223,-0.0766,-0.217
-0.071,-0.0601,-0.0214,-0.0752,-0.21600000000000003
-0.07,-0.0592,-0.0203,-0.0736,-0.21600000000000003
-0.0689,-0.0583,-0.0192,-0.0718,-0.215
-0.0678,-0.0575,-0.0181,-0.07,-0.214
-0.0668,-0.0567,-0.0171,-0.0683,-0.213
-0.0659,-0.055999999999999994,-0.0163,-0.0667,-0.212
-0.0652,-0.0555,-0.0158,-0.0654,-0.212
-0.0647,-0.0551,-0.0156,-0.0644,-0.21100000000000002
-0.0645,-0.0549,-0.0159,-0.0638,-0.21
-0.0646,-0.0549,-0.0165,-0.0635,-0.21
-0.0648,-0.055,-0.0174,-0.0635,-0.209
-0.0651,-0.0552,-0.0184,-0.0636,-0.209
-0.0655,-0.0554,-0.0195,-0.0639,-0.20800000000000002
-0.0658,-0.0556,-0.0206,-0.0641,-0.20800000000000002
-0.0656,0.0,0.0,0.0,0.0
-0.0653,0.0,0.0,0.0,0.0
-0.0651,0.0,0.0,0.0,0.0
-0.0649,0.0,0.0,0.0,0.0
-0.0646,0.0,0.0,0.0,0.0
-0.0644,0.0,0.0,0.0,0.0
