spend_all,spend_apg,spend_aer,spend_grf,spend_hcs,spend_acf,spend_tws,spend_retail_no_grocery,spend_retail_w_grocery
-0.0168,-0.0171,-0.0779,0.0152,-0.0152,-0.0193,-0.10300000000000001,-0.0073,-4.1200000000000005e-05
-0.0302,-0.0224,-0.10099999999999999,0.0157,-0.028999999999999998,-0.0329,-0.12300000000000001,-0.01,-0.00182
-0.0146,-0.00938,-0.0703,0.0362,-0.0298,-0.0365,-0.122,0.00512,0.0151
-0.03,-0.0082,-0.132,0.0544,-0.0345,-0.0327,-0.142,0.00207,0.019
-0.0165,-0.0119,-0.0908,0.0763,-0.0148,-0.0326,-0.14800000000000002,0.00293,0.0268
-0.0122,-0.0123,-0.0849,0.0959,-0.113,-0.0367,-0.14,0.00364,0.0337
-0.0181,-0.0172,-0.0906,0.102,-0.102,-0.0423,-0.151,0.004,0.0358
-0.0186,-0.0254,-0.0975,0.111,-0.0643,-0.0491,-0.158,0.0044399999999999995,0.0389
-0.0174,-0.0269,-0.10400000000000001,0.12300000000000001,-0.0477,-0.0547,-0.157,0.00251,0.0412
-0.00633,-0.0258,-0.0967,0.135,-0.0249,-0.0564,-0.156,0.006509999999999999,0.0475
0.01,-0.0243,-0.0738,0.145,-0.0103,-0.0623,-0.158,0.0136,0.0553
-0.00394,-0.0246,-0.122,0.163,-0.0378,-0.0631,-0.17300000000000001,0.0112,0.0583
-0.00954,-0.0271,-0.142,0.187,0.0583,-0.0659,-0.19699999999999998,0.0124,0.0658
-0.0102,-0.0346,-0.162,0.228,0.0242,-0.07400000000000001,-0.207,0.00281,0.0715
8.859999999999999e-05,-0.0391,-0.192,0.348,0.0112,-0.0856,-0.215,0.00524,0.11199999999999999
0.0126,-0.0463,-0.24,0.493,-0.0161,-0.107,-0.233,0.0125,0.165
0.00119,-0.0837,-0.294,0.529,-0.0379,-0.147,-0.258,0.000646,0.168
-0.0177,-0.113,-0.33,0.542,-0.0646,-0.187,-0.284,-0.0105,0.163
-0.0115,-0.132,-0.36200000000000004,0.63,-0.0728,-0.218,-0.306,-0.00443,0.19699999999999998
-0.0203,-0.166,-0.397,0.68,-0.23600000000000002,-0.258,-0.345,-0.0124,0.20800000000000002
-0.0423,-0.212,-0.439,0.6809999999999999,-0.255,-0.311,-0.389,-0.0227,0.201
-0.0727,-0.262,-0.469,0.612,-0.312,-0.366,-0.43200000000000005,-0.0396,0.166
