gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces
-0.14,-0.0386,0.233,-0.287,-0.259
-0.141,-0.04,0.243,-0.287,-0.257
-0.14400000000000002,-0.0443,0.254,-0.287,-0.259
-0.147,-0.0471,0.271,-0.287,-0.26
-0.151,-0.0514,0.27699999999999997,-0.29,-0.26
-0.154,-0.0543,0.27699999999999997,-0.29100000000000004,-0.26
-0.157,-0.06,0.26899999999999996,-0.297,-0.267
-0.157,-0.0571,0.267,-0.293,-0.26
-0.156,-0.0571,0.26899999999999996,-0.29,-0.259
-0.156,-0.0571,0.26,-0.289,-0.259
-0.157,-0.0586,0.22899999999999998,-0.29,-0.259
-0.154,-0.0571,0.221,-0.287,-0.259
-0.154,-0.0571,0.21100000000000002,-0.284,-0.259
-0.159,-0.0629,0.196,-0.28600000000000003,-0.257
-0.159,-0.0643,0.184,-0.284,-0.256
-0.161,-0.0657,0.16699999999999998,-0.28600000000000003,-0.256
-0.163,-0.0671,0.163,-0.287,-0.254
-0.163,-0.0671,0.166,-0.287,-0.253
-0.166,-0.0686,0.147,-0.29100000000000004,-0.251
-0.16899999999999998,-0.07,0.12300000000000001,-0.297,-0.253
-0.17,-0.07,0.10400000000000001,-0.299,-0.253
-0.17,-0.07,0.0914,-0.3,-0.253
-0.17,-0.07,0.07,-0.303,-0.253
-0.171,-0.0714,0.0329,-0.309,-0.254
-0.16699999999999998,-0.0657,0.02,-0.311,-0.254
-0.16699999999999998,-0.0571,0.0186,-0.311,-0.254
-0.16699999999999998,-0.0586,0.01,-0.314,-0.254
-0.16399999999999998,-0.0557,0.0143,-0.316,-0.254
-0.156,-0.0486,0.0329,-0.317,-0.257
-0.159,-0.0529,0.0414,-0.32,-0.257
-0.16,-0.0543,0.06,-0.319,-0.256
-0.166,-0.0629,0.0671,-0.32,-0.254
-0.166,-0.0743,0.0614,-0.326,-0.254
-0.16399999999999998,-0.0743,0.0871,-0.326,-0.253
