revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
-0.0161,0.0468,-0.037000000000000005,-0.0548,-0.0385
-0.00604,0.0476,-0.0265,-0.0464,-0.0362
-0.0265,0.0149,-0.0398,-0.0457,-0.0419
-0.0409,-0.00852,-0.0444,-0.0541,-0.049
-0.0473,-0.0117,-0.0486,-0.0662,-0.0625
-0.0438,-0.0147,-0.0348,-0.0574,-0.0639
-0.0219,-0.011000000000000001,-0.0154,-0.0206,-0.0565
-0.0436,-0.0348,-0.0455,-0.0544,-0.0642
-0.0551,-0.0283,-0.0559,-0.066,-0.0745
-0.0561,-0.0186,-0.0545,-0.0733,-0.0848
-0.0643,-0.013000000000000001,-0.0668,-0.0882,-0.10099999999999999
-0.076,-0.00435,-0.0754,-0.10099999999999999,-0.136
-0.0945,-0.0161,-0.0665,-0.0951,-0.19
-0.11599999999999999,-0.0238,-0.0797,-0.1,-0.242
-0.128,-0.00602,-0.0833,-0.135,-0.278
-0.161,-0.0136,-0.11199999999999999,-0.193,-0.33299999999999996
-0.19,-0.0165,-0.14,-0.244,-0.385
-0.221,-0.0275,-0.159,-0.298,-0.436
-0.263,-0.0527,-0.18100000000000002,-0.33899999999999997,-0.505
-0.305,-0.0985,-0.191,-0.348,-0.5820000000000001
-0.326,-0.122,-0.177,-0.349,-0.638
-0.364,-0.162,-0.217,-0.414,-0.6679999999999999
-0.39399999999999996,-0.203,-0.244,-0.466,-0.684
-0.423,-0.24600000000000002,-0.265,-0.507,-0.695
-0.444,-0.281,-0.28,-0.535,-0.703
-0.46799999999999997,-0.326,-0.29600000000000004,-0.5539999999999999,-0.71
-0.484,-0.364,-0.299,-0.56,-0.7140000000000001
-0.494,-0.381,-0.308,-0.565,-0.718
-0.502,-0.4,-0.312,-0.569,-0.721
-0.498,-0.397,-0.303,-0.5670000000000001,-0.7190000000000001
-0.493,-0.38799999999999996,-0.293,-0.57,-0.711
-0.489,-0.368,-0.29600000000000004,-0.575,-0.71
-0.488,-0.368,-0.29600000000000004,-0.58,-0.706
-0.49,-0.371,-0.302,-0.5820000000000001,-0.705
-0.489,-0.369,-0.304,-0.579,-0.706
-0.485,-0.36200000000000004,-0.297,-0.5770000000000001,-0.7020000000000001
-0.48700000000000004,-0.363,-0.298,-0.581,-0.701
-0.48700000000000004,-0.365,-0.308,-0.578,-0.7040000000000001
-0.489,-0.38,-0.3,-0.5760000000000001,-0.7020000000000001
-0.49,-0.369,-0.312,-0.583,-0.698
-0.485,-0.355,-0.315,-0.581,-0.695
-0.49200000000000005,-0.36700000000000005,-0.32,-0.583,-0.7040000000000001
-0.49200000000000005,-0.36700000000000005,-0.32,-0.59,-0.7040000000000001
-0.486,-0.359,-0.317,-0.5870000000000001,-0.7
-0.469,-0.33899999999999997,-0.29100000000000004,-0.564,-0.6940000000000001
-0.45799999999999996,-0.32799999999999996,-0.27399999999999997,-0.552,-0.691
-0.446,-0.319,-0.24100000000000002,-0.537,-0.687
-0.44,-0.31,-0.226,-0.535,-0.6809999999999999
-0.423,-0.297,-0.179,-0.52,-0.665
-0.409,-0.28600000000000003,-0.156,-0.503,-0.655
-0.386,-0.248,-0.14300000000000002,-0.493,-0.639
-0.392,-0.256,-0.149,-0.506,-0.64
-0.397,-0.26,-0.163,-0.512,-0.64
-0.395,-0.256,-0.168,-0.517,-0.636
-0.389,-0.24600000000000002,-0.16899999999999998,-0.521,-0.63
-0.391,-0.23399999999999999,-0.195,-0.531,-0.627
