gps_residential,gps_away_from_home
0.0714,-0.0821
0.0714,-0.0821
0.0714,-0.0821
0.0729,-0.0838
0.0729,-0.0838
0.0729,-0.0838
0.0729,-0.0838
0.0729,-0.0838
0.0729,-0.0838
0.0743,-0.0867
0.0757,-0.0884
0.0771,-0.0898
0.0786,-0.0914
0.08,-0.0928
0.0786,-0.0914
0.0786,-0.0914
0.0786,-0.0914
0.0771,-0.0898
0.0757,-0.0884
0.0757,-0.0884
0.0757,-0.0884
0.0771,-0.0897
0.0786,-0.0922
0.0786,-0.0922
0.08,-0.0939
0.0814,-0.0953
0.0843,-0.0985
0.0829,-0.0968
0.0857,-0.0995
0.0871,-0.102
0.0886,-0.105
0.0886,-0.105
0.09,-0.106
0.0914,-0.10800000000000001
0.0914,-0.10800000000000001
0.0914,-0.10800000000000001
