merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
-0.006229999999999999,-0.00596,-0.0125,-0.00518,-0.00804
-0.005529999999999999,-0.00614,-0.0133,-0.00636,-0.007240000000000001
-0.0112,-0.00881,-0.0199,-0.0141,-0.0126
-0.0188,-0.0173,-0.0242,-0.0242,-0.0201
-0.0277,-0.0257,-0.0347,-0.0358,-0.026000000000000002
-0.0312,-0.0296,-0.0417,-0.0392,-0.0297
-0.0302,-0.0294,-0.0372,-0.0377,-0.032
-0.0327,-0.0313,-0.0376,-0.0371,-0.0348
-0.0332,-0.0322,-0.0344,-0.0378,-0.037000000000000005
-0.0275,-0.0289,-0.0281,-0.0335,-0.034
-0.024,-0.0255,-0.0258,-0.0263,-0.0299
-0.0259,-0.0266,-0.0282,-0.0277,-0.0305
-0.0275,-0.0269,-0.0304,-0.0303,-0.0309
-0.0272,-0.0266,-0.0253,-0.0302,-0.0305
-0.0267,-0.0268,-0.026000000000000002,-0.0321,-0.0312
-0.0293,-0.0282,-0.0305,-0.0368,-0.0312
-0.0333,-0.0296,-0.0349,-0.0414,-0.0319
-0.0359,-0.0319,-0.0398,-0.0447,-0.0337
-0.04,-0.036000000000000004,-0.0438,-0.0502,-0.0363
-0.0435,-0.0396,-0.0465,-0.0539,-0.039
-0.0463,-0.043,-0.0466,-0.0536,-0.0433
-0.0492,-0.0457,-0.0467,-0.051,-0.0484
-0.0588,-0.0528,-0.0543,-0.0651,-0.0602
-0.0775,-0.0666,-0.0679,-0.09,-0.0846
-0.102,-0.0847,-0.0807,-0.121,-0.11699999999999999
-0.13,-0.105,-0.0948,-0.156,-0.154
-0.161,-0.129,-0.11199999999999999,-0.188,-0.19399999999999998
-0.191,-0.156,-0.12300000000000001,-0.20199999999999999,-0.23600000000000002
-0.213,-0.175,-0.127,-0.207,-0.278
-0.245,-0.2,-0.146,-0.244,-0.314
-0.28,-0.23199999999999998,-0.166,-0.284,-0.34600000000000003
-0.313,-0.262,-0.18600000000000003,-0.32,-0.37200000000000005
-0.336,-0.282,-0.2,-0.34299999999999997,-0.386
-0.353,-0.298,-0.20800000000000002,-0.35700000000000004,-0.39899999999999997
-0.368,-0.317,-0.21600000000000003,-0.363,-0.41
-0.375,-0.325,-0.221,-0.364,-0.419
-0.384,-0.33399999999999996,-0.225,-0.37200000000000005,-0.428
-0.386,-0.33399999999999996,-0.223,-0.375,-0.431
-0.38299999999999995,-0.331,-0.21600000000000003,-0.37,-0.431
-0.38799999999999996,-0.335,-0.21899999999999997,-0.377,-0.439
-0.395,-0.342,-0.225,-0.384,-0.445
-0.39799999999999996,-0.344,-0.231,-0.386,-0.45
-0.4,-0.345,-0.22899999999999998,-0.385,-0.45399999999999996
-0.402,-0.345,-0.231,-0.38799999999999996,-0.456
-0.40399999999999997,-0.34600000000000003,-0.23199999999999998,-0.392,-0.45799999999999996
-0.41200000000000003,-0.353,-0.245,-0.402,-0.465
-0.419,-0.36,-0.252,-0.41100000000000003,-0.47100000000000003
-0.426,-0.364,-0.266,-0.426,-0.47200000000000003
-0.428,-0.364,-0.27,-0.428,-0.474
-0.43700000000000006,-0.374,-0.27899999999999997,-0.43200000000000005,-0.49200000000000005
-0.44,-0.376,-0.28300000000000003,-0.436,-0.495
-0.439,-0.375,-0.284,-0.436,-0.495
-0.429,-0.365,-0.267,-0.424,-0.489
-0.419,-0.355,-0.247,-0.41200000000000003,-0.484
-0.409,-0.34700000000000003,-0.222,-0.396,-0.48200000000000004
-0.405,-0.342,-0.209,-0.392,-0.478
-0.389,-0.327,-0.17,-0.374,-0.45899999999999996
-0.379,-0.317,-0.14400000000000002,-0.364,-0.45299999999999996
-0.361,-0.29600000000000004,-0.128,-0.35700000000000004,-0.434
-0.36,-0.293,-0.12300000000000001,-0.35700000000000004,-0.43200000000000005
-0.359,-0.29100000000000004,-0.13,-0.35700000000000004,-0.43
